part_id,part_name,category,material,material_grade,thickness_mm,length_mm,width_mm,weight_kg,bend_count,hole_count,surface_finish,finish_cost_per_part,material_rate_per_kg,cycle_time_min,energy_kwh_per_part,energy_rate_per_kwh,labour_hours,labour_rate_per_hour,overhead_pct,supplier_margin_pct,current_supplier,supplier_region,erp_price,annual_volume,engineering_status,prediction_status,drawing_source_file,drawing_extraction_confidence,engineering_data_source,drawing_stored_path,drawing_sha256,drawing_committed_at_utc
SM-1011,Access cover 011,Cover / panel,Galvanized Steel,GI G90,1.2,491.0,394.0,1.51,3.0,20.0,Painted,44.49,88.42,21.7,0.78,8.5,0.38,390,35,10,SteelWorks,India,501.08,4807,Baseline ready,Ready,,,,,,
SM-1012,Access cover 012,Cover / panel,Galvanized Steel,GI G90,1.6,391.0,620.0,3.16,6.0,8.0,Powder coated,55.76,95.93,26.6,1.18,10.0,0.45,1900,24,12,PrecisionPanel,USA,1637.57,17559,Baseline ready,Ready,,,,,,
SM-1013,Access cover 013,Cover / panel,Galvanized Steel,GI G90,1.6,350.0,145.0,0.55,9.0,19.0,Powder coated,11.67,94.44,30.1,0.69,8.5,0.45,390,20,10,SteelWorks,India,576.19,2808,Baseline ready,Ready,,,,,,
SM-1014,Mounting bracket 014,Bracket,Mild Steel,IS 2062 E250,2.0,192.0,606.0,1.51,10.0,17.0,Powder coated,26.76,79.57,33.3,0.94,7.8,0.62,340,35,12,AsiaForm,Vietnam,759.78,8562,Baseline ready,Ready,,,,,,
SM-1015,Access cover 015,Cover / panel,Galvanized Steel,GI G90,2.5,314.0,176.0,0.85,6.0,13.0,Passivated,12.71,92.32,23.2,0.65,7.8,0.45,340,20,9,AsiaForm,Vietnam,433.64,13793,Baseline ready,Ready,,,,,,
SM-1016,Control plate 016,Mounting plate,CRCA Steel,CRCA IS 513,5.0,231.0,334.0,2.46,8.0,16.0,Powder coated,17.75,86.42,31.4,1.11,7.8,0.52,340,20,12,AsiaForm,Vietnam,696.66,3808,Baseline ready,Ready,,,,,,
SM-1017,Mounting bracket 017,Bracket,Mild Steel,IS 2062 E250,3.0,135.0,175.0,0.59,3.0,7.0,Passivated,5.43,79.02,15.1,0.48,8.5,0.24,390,20,10,BendCraft,India,264.57,13018,Baseline ready,Ready,,,,,,
SM-1018,Mounting bracket 018,Bracket,Mild Steel,IS 2062 E250,2.0,922.0,545.0,6.66,8.0,23.0,Passivated,115.57,75.67,43.1,2.16,7.5,0.71,460,35,9,DragonSheet,China,1870.4,10876,Baseline ready,Ready,,,,,,
SM-1019,Mounting bracket 019,Bracket,Mild Steel,IS 2062 E250,3.0,608.0,594.0,8.96,8.0,7.0,Painted,83.06,83.84,42.6,2.61,8.5,0.66,390,35,9,SteelWorks,India,1452.99,8307,Baseline ready,Ready,,,,,,
SM-1020,Access cover 020,Cover / panel,Galvanized Steel,GI G90,3.0,372.0,120.0,1.0,6.0,23.0,Zinc plated,10.27,98.58,27.1,0.75,8.5,0.43,390,22,11,SteelWorks,India,583.7,13569,Baseline ready,Ready,,,,,,
SM-1021,Mounting bracket 021,Bracket,Mild Steel,IS 2062 E350,4.0,427.0,548.0,6.28,1.0,2.0,Passivated,53.82,84.52,22.3,1.76,8.5,0.4,390,35,10,BendCraft,India,875.93,17176,Baseline ready,Ready,,,,,,
SM-1022,Control plate 022,Mounting plate,CRCA Steel,CRCA IS 513,2.0,190.0,330.0,0.86,2.0,16.0,Zinc plated,14.42,88.54,17.1,0.57,8.5,0.34,390,20,13,PlatePro,India,391.92,10410,Baseline ready,Ready,,,,,,
SM-1023,Mounting bracket 023,Bracket,Mild Steel,IS 2062 E250,2.0,238.0,189.0,0.7,2.0,10.0,Zinc plated,10.35,80.23,14.6,0.5,8.5,0.27,390,24,13,PlatePro,India,277.6,16608,Baseline ready,Ready,,,,,,
SM-1024,Control plate 024,Mounting plate,CRCA Steel,CRCA IS 513,1.2,214.0,513.0,1.06,0.0,2.0,Zinc plated,25.25,90.32,9.0,0.49,7.8,0.16,340,27,13,AsiaForm,Vietnam,214.88,14614,Baseline ready,Ready,,,,,,
SM-1025,Welded support 025,Fabricated assembly,Stainless Steel,SS304,1.2,197.0,232.0,0.4,5.0,20.0,Powder coated,10.51,145.85,22.9,0.56,8.5,0.35,390,20,11,SteelWorks,India,426.3,7483,Baseline ready,Ready,,,,,,
SM-1026,Mounting bracket 026,Bracket,Mild Steel,IS 2062 E350,1.2,482.0,496.0,2.41,2.0,9.0,Powder coated,54.99,88.31,18.1,0.9,8.5,0.34,390,20,10,BendCraft,India,611.46,11485,Baseline ready,Ready,,,,,,
SM-1027,Access cover 027,Cover / panel,Galvanized Steel,GI G90,4.0,872.0,334.0,7.66,1.0,14.0,Painted,66.99,97.67,29.6,2.17,7.8,0.48,340,24,10,AsiaForm,Vietnam,1651.22,7904,Baseline ready,Ready,,,,,,
SM-1028,Mounting bracket 028,Bracket,Mild Steel,IS 2062 E250,1.6,528.0,416.0,2.32,1.0,26.0,Zinc plated,50.52,77.66,22.0,0.96,8.5,0.39,390,35,11,BendCraft,India,621.19,1504,Baseline ready,Ready,,,,,,
SM-1029,Mounting bracket 029,Bracket,Mild Steel,IS 2062 E250,1.6,714.0,351.0,2.4,9.0,15.0,Zinc plated,57.64,81.49,32.7,1.11,7.8,0.54,340,35,9,FabriMax,Vietnam,796.07,13222,Baseline ready,Ready,,,,,,
SM-1030,Welded support 030,Fabricated assembly,Stainless Steel,SS304,2.0,165.0,526.0,1.02,8.0,23.0,Powder coated,19.96,144.62,30.7,0.8,8.5,0.47,390,24,13,PlatePro,India,712.53,10886,Baseline ready,Ready,,,,,,
SM-1031,Mounting bracket 031,Bracket,Mild Steel,IS 2062 E250,2.0,639.0,396.0,3.85,5.0,14.0,Zinc plated,58.2,79.72,28.4,1.35,8.5,0.45,390,27,10,BendCraft,India,854.19,10461,Baseline ready,Ready,,,,,,
SM-1032,Access cover 032,Cover / panel,Galvanized Steel,GI G90,5.0,120.0,391.0,1.56,6.0,27.0,Zinc plated,10.79,92.96,29.7,0.91,10.0,0.51,1900,27,10,PrecisionPanel,USA,1467.44,3378,Baseline ready,Ready,,,,,,
SM-1033,Control plate 033,Mounting plate,CRCA Steel,CRCA IS 513,4.0,768.0,423.0,7.96,3.0,23.0,Zinc plated,74.72,84.21,37.0,2.34,10.0,0.59,1900,22,12,PrecisionPanel,USA,2179.61,2986,Baseline ready,Ready,,,,,,
SM-1034,Access cover 034,Cover / panel,Galvanized Steel,GI G90,4.0,709.0,279.0,6.13,6.0,17.0,Passivated,45.5,90.32,36.2,1.94,7.5,0.66,460,20,12,DragonSheet,China,1185.73,7770,Baseline ready,Ready,,,,,,
SM-1035,Mounting bracket 035,Bracket,Mild Steel,IS 2062 E350,4.0,650.0,555.0,8.68,3.0,5.0,Passivated,82.97,79.32,32.3,2.41,7.8,0.56,340,35,13,AsiaForm,Vietnam,1282.39,10997,Baseline ready,Ready,,,,,,
SM-1036,Access cover 036,Cover / panel,Galvanized Steel,GI G90,5.0,856.0,596.0,17.84,8.0,16.0,Powder coated,117.34,96.29,65.2,4.8,10.0,1.13,1900,24,13,PrecisionPanel,USA,5692.54,16479,Baseline ready,Ready,,,,,,
SM-1037,Mounting bracket 037,Bracket,Mild Steel,IS 2062 E350,2.5,199.0,372.0,1.2,5.0,12.0,Painted,17.03,79.38,21.8,0.71,7.8,0.35,340,22,9,FabriMax,Vietnam,453.21,14194,Baseline ready,Ready,,,,,,
SM-1038,Access cover 038,Cover / panel,Galvanized Steel,GI G90,3.0,597.0,505.0,5.47,6.0,14.0,Painted,69.34,97.65,33.7,1.77,7.8,0.64,340,20,11,FabriMax,Vietnam,1166.17,10384,Baseline ready,Ready,,,,,,
SM-1039,Access cover 039,Cover / panel,Galvanized Steel,GI G90,5.0,549.0,305.0,5.99,4.0,15.0,Passivated,38.51,87.75,31.6,1.85,7.8,0.53,340,27,10,AsiaForm,Vietnam,1104.9,15915,Baseline ready,Ready,,,,,,
SM-1040,Mounting bracket 040,Bracket,Mild Steel,IS 2062 E350,3.0,147.0,483.0,1.58,10.0,2.0,Painted,16.33,84.75,28.2,0.86,10.0,0.44,1900,20,11,PrecisionPanel,USA,1351.99,13022,Baseline ready,Ready,,,,,,
SM-1041,Control plate 041,Mounting plate,CRCA Steel,CRCA IS 513,2.5,454.0,425.0,3.79,6.0,10.0,Passivated,44.38,84.52,28.6,1.34,8.5,0.44,390,35,9,PlatePro,India,753.18,12067,Baseline ready,Ready,,,,,,
SM-1042,Mounting bracket 042,Bracket,Mild Steel,IS 2062 E350,1.2,919.0,121.0,1.05,3.0,8.0,Painted,25.58,84.52,16.5,0.59,8.5,0.27,390,20,13,BendCraft,India,359.3,7742,Baseline ready,Ready,,,,,,
SM-1043,Access cover 043,Cover / panel,Galvanized Steel,GI G90,2.0,905.0,457.0,5.23,9.0,25.0,Painted,95.12,96.7,42.5,1.85,8.5,0.67,390,35,9,BendCraft,India,1304.57,10822,Baseline ready,Ready,,,,,,
SM-1044,Welded support 044,Fabricated assembly,Stainless Steel,SS304,2.5,526.0,283.0,2.26,10.0,9.0,Painted,34.24,150.89,32.1,1.07,8.5,0.53,390,20,13,BendCraft,India,988.25,1945,Baseline ready,Ready,,,,,,
SM-1045,Control plate 045,Mounting plate,CRCA Steel,CRCA IS 513,2.5,797.0,459.0,5.55,10.0,12.0,Painted,84.14,91.2,40.4,1.87,10.0,0.77,1900,27,10,PrecisionPanel,USA,3261.4,14870,Baseline ready,Ready,,,,,,
SM-1046,Mounting bracket 046,Bracket,Mild Steel,IS 2062 E350,3.0,786.0,356.0,6.28,8.0,26.0,Passivated,64.36,82.86,43.3,2.08,8.5,0.83,390,24,10,BendCraft,India,1415.03,3439,Baseline ready,Ready,,,,,,
SM-1047,Control plate 047,Mounting plate,CRCA Steel,CRCA IS 513,1.6,888.0,555.0,5.81,10.0,14.0,Zinc plated,113.35,82.02,41.7,1.95,7.5,0.8,460,22,11,DragonSheet,China,1342.68,9065,Baseline ready,Ready,,,,,,
SM-1048,Control plate 048,Mounting plate,CRCA Steel,CRCA IS 513,3.0,838.0,362.0,6.67,8.0,8.0,Painted,69.77,84.4,37.9,2.07,7.8,0.65,340,22,12,FabriMax,Vietnam,1261.57,16683,Baseline ready,Ready,,,,,,
SM-1049,Access cover 049,Cover / panel,Galvanized Steel,GI G90,1.2,215.0,381.0,0.64,3.0,11.0,Zinc plated,18.84,93.06,16.6,0.51,7.8,0.29,340,35,11,AsiaForm,Vietnam,319.9,12128,Baseline ready,Ready,,,,,,
SM-1050,Access cover 050,Cover / panel,Galvanized Steel,GI G90,2.0,377.0,316.0,1.48,3.0,12.0,Painted,27.4,96.28,18.8,0.72,7.8,0.37,340,22,10,FabriMax,Vietnam,491.23,16466,Baseline ready,Ready,,,,,,
SM-1051,Control plate 051,Mounting plate,CRCA Steel,CRCA IS 513,3.0,898.0,617.0,12.36,1.0,28.0,Powder coated,127.44,85.01,44.8,3.38,8.5,0.75,390,35,10,BendCraft,India,1897.28,9588,Baseline ready,Ready,,,,,,
SM-1052,Mounting bracket 052,Bracket,Mild Steel,IS 2062 E250,3.0,419.0,209.0,1.98,7.0,5.0,Painted,20.14,79.92,24.7,0.9,8.5,0.43,390,22,9,SteelWorks,India,578.19,8873,Baseline ready,Ready,,,,,,
SM-1053,Access cover 053,Cover / panel,Galvanized Steel,GI G90,5.0,186.0,490.0,3.26,9.0,22.0,Painted,20.96,89.21,37.1,1.36,8.5,0.71,390,20,10,SteelWorks,India,1079.77,4481,Baseline ready,Ready,,,,,,
SM-1054,Welded support 054,Fabricated assembly,Stainless Steel,SS304,2.5,740.0,311.0,4.54,6.0,16.0,Passivated,52.93,143.36,32.4,1.56,7.8,0.58,340,20,13,AsiaForm,Vietnam,1591.39,3851,Baseline ready,Ready,,,,,,
SM-1055,Mounting bracket 055,Bracket,Mild Steel,IS 2062 E350,1.6,390.0,163.0,0.64,2.0,19.0,Painted,14.62,79.57,17.7,0.54,8.5,0.3,390,27,11,BendCraft,India,357.83,1669,Baseline ready,Ready,,,,,,
SM-1056,Mounting bracket 056,Bracket,Mild Steel,IS 2062 E350,4.0,409.0,544.0,5.4,3.0,10.0,Powder coated,51.17,82.43,26.8,1.65,7.8,0.47,340,24,10,FabriMax,Vietnam,943.85,2939,Baseline ready,Ready,,,,,,
SM-1057,Mounting bracket 057,Bracket,Mild Steel,IS 2062 E250,5.0,434.0,375.0,5.72,7.0,24.0,Zinc plated,37.43,81.2,39.6,1.91,8.5,0.78,390,27,12,PlatePro,India,1237.87,3235,Baseline ready,Ready,,,,,,
SM-1058,Welded support 058,Fabricated assembly,Stainless Steel,SS304,2.5,872.0,410.0,6.66,0.0,4.0,Powder coated,82.23,155.88,22.1,1.84,8.5,0.42,390,20,11,SteelWorks,India,1635.1,1918,Baseline ready,Ready,,,,,,
SM-1059,Mounting bracket 059,Bracket,Mild Steel,IS 2062 E350,3.0,787.0,532.0,10.38,2.0,20.0,Passivated,96.3,84.67,39.4,2.88,7.5,0.69,460,24,12,DragonSheet,China,1591.43,11521,Baseline ready,Ready,,,,,,
SM-1060,Control plate 060,Mounting plate,CRCA Steel,CRCA IS 513,1.2,284.0,417.0,0.99,7.0,11.0,Passivated,27.24,90.8,24.6,0.7,8.5,0.44,390,24,11,BendCraft,India,531.62,11193,Baseline ready,Ready,,,,,,
SM-1061,Mounting bracket 061,Bracket,Mild Steel,IS 2062 E250,2.5,646.0,81.0,0.99,8.0,16.0,Passivated,12.03,74.65,28.2,0.75,7.8,0.5,340,27,12,AsiaForm,Vietnam,552.57,2291,Baseline ready,Ready,,,,,,
SM-1062,Mounting bracket 062,Bracket,Mild Steel,IS 2062 E350,3.0,254.0,374.0,2.0,7.0,5.0,Painted,21.85,88.27,24.8,0.91,7.8,0.45,340,22,11,FabriMax,Vietnam,562.92,1048,Baseline ready,Ready,,,,,,
SM-1063,Welded support 063,Fabricated assembly,Stainless Steel,SS304,1.2,350.0,196.0,0.58,1.0,22.0,Powder coated,15.78,147.14,16.8,0.52,7.5,0.31,460,27,12,DragonSheet,China,489.29,8586,Baseline ready,Ready,,,,,,
SM-1064,Access cover 064,Cover / panel,Galvanized Steel,GI G90,1.6,512.0,275.0,1.86,8.0,25.0,Powder coated,32.38,97.73,33.3,1.02,10.0,0.54,1900,27,11,PrecisionPanel,USA,1820.06,17237,Baseline ready,Ready,,,,,,
SM-1065,Control plate 065,Mounting plate,CRCA Steel,CRCA IS 513,1.2,409.0,385.0,1.52,9.0,23.0,Passivated,36.22,91.37,33.6,0.95,7.8,0.58,340,24,13,AsiaForm,Vietnam,732.78,12960,Baseline ready,Ready,,,,,,
SM-1066,Access cover 066,Cover / panel,Galvanized Steel,GI G90,5.0,313.0,324.0,3.74,3.0,26.0,Passivated,23.32,87.92,28.7,1.35,7.8,0.54,340,27,12,FabriMax,Vietnam,867.12,5584,Baseline ready,Ready,,,,,,
SM-1067,Access cover 067,Cover / panel,Galvanized Steel,GI G90,1.6,634.0,419.0,3.46,7.0,5.0,Passivated,61.1,87.58,28.0,1.26,8.5,0.44,390,22,9,SteelWorks,India,876.37,15984,Baseline ready,Ready,,,,,,
SM-1068,Control plate 068,Mounting plate,CRCA Steel,CRCA IS 513,3.0,829.0,487.0,9.17,5.0,23.0,Passivated,92.86,92.37,43.2,2.68,7.8,0.78,340,27,13,FabriMax,Vietnam,1817.19,1776,Baseline ready,Ready,,,,,,
SM-1069,Welded support 069,Fabricated assembly,Stainless Steel,SS304,1.6,766.0,374.0,3.88,1.0,15.0,Painted,65.89,152.08,21.6,1.27,8.5,0.4,390,22,11,SteelWorks,India,1009.29,1548,Baseline ready,Ready,,,,,,
SM-1070,Mounting bracket 070,Bracket,Mild Steel,IS 2062 E250,5.0,177.0,380.0,2.29,6.0,6.0,Powder coated,15.47,79.49,23.9,0.96,7.8,0.43,340,22,10,FabriMax,Vietnam,598.81,3187,Baseline ready,Ready,,,,,,
SM-1071,Welded support 071,Fabricated assembly,Stainless Steel,SS304,2.5,754.0,326.0,4.41,9.0,6.0,Powder coated,56.53,146.44,34.0,1.54,7.8,0.55,340,20,12,AsiaForm,Vietnam,1249.47,10025,Baseline ready,Ready,,,,,,
SM-1072,Welded support 072,Fabricated assembly,Stainless Steel,SS304,1.2,572.0,433.0,2.51,4.0,22.0,Passivated,56.97,150.76,26.4,1.05,8.5,0.46,390,27,9,PlatePro,India,1175.81,8372,Baseline ready,Ready,,,,,,
SM-1073,Access cover 073,Cover / panel,Galvanized Steel,GI G90,2.0,708.0,382.0,4.58,4.0,2.0,Passivated,62.2,90.68,24.0,1.43,10.0,0.43,1900,20,13,PrecisionPanel,USA,1672.76,16876,Baseline ready,Ready,,,,,,
SM-1074,Control plate 074,Mounting plate,CRCA Steel,CRCA IS 513,5.0,355.0,440.0,5.04,3.0,21.0,Zinc plated,35.93,89.28,29.8,1.63,7.8,0.56,340,22,9,AsiaForm,Vietnam,1017.09,1891,Baseline ready,Ready,,,,,,
SM-1075,Control plate 075,Mounting plate,CRCA Steel,CRCA IS 513,2.5,154.0,453.0,1.36,1.0,11.0,Zinc plated,16.05,90.06,14.6,0.64,7.8,0.23,340,35,11,AsiaForm,Vietnam,313.65,17994,Baseline ready,Ready,,,,,,
SM-1076,Welded support 076,Fabricated assembly,Stainless Steel,SS304,5.0,288.0,343.0,4.08,7.0,27.0,Zinc plated,22.72,151.82,37.0,1.54,7.8,0.62,340,20,10,FabriMax,Vietnam,1222.62,7992,Baseline ready,Ready,,,,,,
SM-1077,Access cover 077,Cover / panel,Galvanized Steel,GI G90,5.0,690.0,454.0,9.59,6.0,2.0,Zinc plated,72.05,93.82,38.6,2.68,7.8,0.67,340,24,13,AsiaForm,Vietnam,1669.23,13085,Baseline ready,Ready,,,,,,
SM-1078,Control plate 078,Mounting plate,CRCA Steel,CRCA IS 513,4.0,359.0,562.0,4.8,8.0,12.0,Powder coated,46.4,88.94,35.2,1.64,8.5,0.64,390,24,12,SteelWorks,India,1095.55,4423,Baseline ready,Ready,,,,,,
SM-1079,Mounting bracket 079,Bracket,Mild Steel,IS 2062 E350,1.2,431.0,584.0,1.87,3.0,19.0,Powder coated,57.89,82.04,22.2,0.86,8.5,0.37,390,35,12,SteelWorks,India,626.42,5663,Baseline ready,Ready,,,,,,
SM-1080,Access cover 080,Cover / panel,Galvanized Steel,GI G90,1.2,621.0,497.0,3.08,4.0,3.0,Zinc plated,70.99,90.0,21.0,1.08,8.5,0.36,390,24,9,BendCraft,India,659.05,12636,Baseline ready,Ready,,,,,,
SM-1081,Welded support 081,Fabricated assembly,Stainless Steel,SS304,2.0,182.0,487.0,1.17,1.0,28.0,Passivated,20.39,139.48,20.2,0.69,8.5,0.32,390,20,11,BendCraft,India,692.9,8581,Baseline ready,Ready,,,,,,
SM-1082,Mounting bracket 082,Bracket,Mild Steel,IS 2062 E350,3.0,330.0,150.0,1.19,8.0,8.0,Powder coated,11.38,86.57,25.8,0.75,7.8,0.42,340,35,9,AsiaForm,Vietnam,535.32,9685,Baseline ready,Ready,,,,,,
SM-1083,Mounting bracket 083,Bracket,Mild Steel,IS 2062 E350,3.0,376.0,258.0,1.8,0.0,6.0,Painted,22.31,81.72,12.1,0.69,8.5,0.23,390,20,10,PlatePro,India,349.16,9295,Baseline ready,Ready,,,,,,
SM-1084,Mounting bracket 084,Bracket,Mild Steel,IS 2062 E250,4.0,551.0,618.0,8.42,1.0,17.0,Passivated,78.32,81.99,32.3,2.37,8.5,0.57,390,35,10,PlatePro,India,1226.58,2020,Baseline ready,Ready,,,,,,
SM-1085,Welded support 085,Fabricated assembly,Stainless Steel,SS304,2.5,778.0,111.0,1.31,7.0,14.0,Passivated,19.86,150.68,26.4,0.79,7.8,0.46,340,20,9,FabriMax,Vietnam,709.22,11154,Baseline ready,Ready,,,,,,
SM-1086,Welded support 086,Fabricated assembly,Stainless Steel,SS304,1.2,249.0,361.0,0.81,9.0,19.0,Zinc plated,20.67,144.93,30.6,0.75,8.5,0.55,390,35,13,PlatePro,India,664.99,14696,Baseline ready,Ready,,,,,,
SM-1087,Mounting bracket 087,Bracket,Mild Steel,IS 2062 E250,4.0,237.0,300.0,1.99,3.0,15.0,Zinc plated,16.35,82.49,21.0,0.86,7.8,0.36,340,24,12,AsiaForm,Vietnam,519.76,10840,Baseline ready,Ready,,,,,,
SM-1088,Control plate 088,Mounting plate,CRCA Steel,CRCA IS 513,1.6,823.0,565.0,4.51,1.0,4.0,Passivated,106.95,82.78,19.1,1.35,7.8,0.36,340,35,9,FabriMax,Vietnam,820.71,11401,Baseline ready,Ready,,,,,,
SM-1089,Mounting bracket 089,Bracket,Mild Steel,IS 2062 E250,2.0,801.0,513.0,6.69,0.0,11.0,Zinc plated,94.51,77.67,24.6,1.89,7.5,0.44,460,27,10,DragonSheet,China,995.21,4146,Baseline ready,Ready,,,,,,
SM-1090,Control plate 090,Mounting plate,CRCA Steel,CRCA IS 513,3.0,496.0,197.0,2.3,9.0,9.0,Passivated,22.47,91.15,30.4,1.05,7.8,0.6,340,35,9,AsiaForm,Vietnam,979.57,9363,Baseline ready,Ready,,,,,,
SM-1091,Mounting bracket 091,Bracket,Mild Steel,IS 2062 E250,2.0,839.0,396.0,5.5,5.0,2.0,Powder coated,76.42,82.92,27.8,1.68,8.5,0.5,390,22,9,PlatePro,India,984.37,3606,Baseline ready,Ready,,,,,,
SM-1092,Welded support 092,Fabricated assembly,Stainless Steel,SS304,2.5,549.0,544.0,5.06,5.0,11.0,Zinc plated,68.69,152.39,30.0,1.62,8.5,0.53,390,20,10,PlatePro,India,1333.29,5758,Baseline ready,Ready,,,,,,
SM-1093,Welded support 093,Fabricated assembly,Stainless Steel,SS304,4.0,203.0,358.0,2.05,6.0,17.0,Passivated,16.72,145.56,27.2,0.96,8.5,0.44,390,24,12,SteelWorks,India,795.43,4233,Baseline ready,Ready,,,,,,
SM-1094,Control plate 094,Mounting plate,CRCA Steel,CRCA IS 513,4.0,727.0,578.0,12.19,4.0,3.0,Powder coated,96.65,86.12,41.1,3.26,8.5,0.74,390,24,10,BendCraft,India,1703.63,5096,Baseline ready,Ready,,,,,,
SM-1095,Control plate 095,Mounting plate,CRCA Steel,CRCA IS 513,2.0,242.0,87.0,0.3,6.0,7.0,Powder coated,4.84,85.95,19.9,0.48,7.8,0.37,340,24,9,FabriMax,Vietnam,338.9,13611,Baseline ready,Ready,,,,,,
SM-1096,Mounting bracket 096,Bracket,Mild Steel,IS 2062 E250,1.2,590.0,159.0,0.91,9.0,15.0,Passivated,21.58,81.29,29.5,0.75,7.5,0.5,460,20,11,DragonSheet,China,593.05,6231,Baseline ready,Ready,,,,,,
SM-1097,Welded support 097,Fabricated assembly,Stainless Steel,SS304,5.0,826.0,450.0,11.37,1.0,9.0,Passivated,85.49,148.85,36.0,3.03,7.5,0.63,460,24,11,DragonSheet,China,2576.48,7860,Baseline ready,Ready,,,,,,
SM-1098,Control plate 098,Mounting plate,CRCA Steel,CRCA IS 513,1.6,198.0,602.0,1.44,8.0,18.0,Powder coated,27.42,91.83,29.9,0.87,7.8,0.5,340,22,10,AsiaForm,Vietnam,668.55,3968,Baseline ready,Ready,,,,,,
SM-1099,Mounting bracket 099,Bracket,Mild Steel,IS 2062 E350,1.6,297.0,236.0,0.88,10.0,4.0,Powder coated,16.12,88.04,27.3,0.71,7.8,0.5,340,35,12,FabriMax,Vietnam,654.96,11190,Baseline ready,Ready,,,,,,
SM-1100,Control plate 100,Mounting plate,CRCA Steel,CRCA IS 513,2.5,189.0,560.0,1.86,4.0,27.0,Zinc plated,24.34,88.31,26.7,0.93,8.5,0.45,390,27,12,PlatePro,India,593.7,1832,Baseline ready,Ready,,,,,,
SM-1101,Mounting bracket 101,Bracket,Mild Steel,IS 2062 E250,5.0,413.0,158.0,2.47,1.0,21.0,Passivated,15.01,78.79,20.6,0.96,7.8,0.37,340,20,12,FabriMax,Vietnam,553.34,6768,Baseline ready,Ready,,,,,,
SM-1102,Control plate 102,Mounting plate,CRCA Steel,CRCA IS 513,2.5,633.0,234.0,3.1,7.0,5.0,Zinc plated,34.07,92.68,27.2,1.17,10.0,0.42,1900,20,10,PrecisionPanel,USA,1519.74,14944,Baseline ready,Ready,,,,,,
